epoch,lr-AdamW,step,train_loss,valid_loss
45,,9099,5.342657089233398,
45,,9199,5.379439353942871,
45,,9199,,5.887678146362305
,0.001,9200,,
46,,9299,5.2216691970825195,
46,,9399,5.136390686035156,
46,,9399,,5.549480438232422
,0.001,9400,,
47,,9499,5.751164436340332,
47,,9599,5.517572402954102,
47,,9599,,5.633133888244629
,0.001,9600,,
48,,9699,5.199777603149414,
48,,9799,5.581295490264893,
48,,9799,,5.7629923820495605
,0.001,9800,,
49,,9899,5.112574100494385,
49,,9999,5.0785603523254395,
49,,9999,,5.421732425689697
,0.001,10000,,
50,,10099,5.700273513793945,
50,,10199,5.058825492858887,
50,,10199,,6.15153169631958
,0.001,10200,,
51,,10299,5.253456115722656,
51,,10399,4.964139938354492,
51,,10399,,5.411556243896484
,0.001,10400,,
52,,10499,5.1536664962768555,
52,,10599,5.157894611358643,
52,,10599,,5.2859110832214355
,0.001,10600,,
53,,10699,5.359149932861328,
53,,10799,4.897660732269287,
53,,10799,,5.417843341827393
,0.001,10800,,
54,,10899,5.175558090209961,
54,,10999,4.826224327087402,
54,,10999,,5.322691440582275
,0.001,11000,,
55,,11099,5.045193672180176,
55,,11199,4.919666290283203,
55,,11199,,5.229797840118408
,0.001,11200,,
56,,11299,5.078063488006592,
56,,11399,5.083337783813477,
56,,11399,,5.308130741119385
,0.001,11400,,
57,,11499,5.201038360595703,
57,,11599,4.997642517089844,
57,,11599,,5.275643348693848
,0.001,11600,,
58,,11699,4.912920951843262,
58,,11799,5.001989364624023,
58,,11799,,5.361295223236084
,0.001,11800,,
59,,11899,4.757490634918213,
59,,11999,4.910693645477295,
59,,11999,,5.185803413391113
,0.001,12000,,
60,,12099,5.142926216125488,
60,,12199,5.197972774505615,
60,,12199,,5.22889518737793
,0.001,12200,,
61,,12299,4.99606466293335,
61,,12399,4.862600803375244,
61,,12399,,5.367975234985352
,0.001,12400,,
62,,12499,4.984307765960693,
62,,12599,5.139073371887207,
